MGI:MGI:101914	Calb2
MGI:MGI:1916267	Prrt2
MGI:MGI:1926483	Nectin1
MGI:MGI:1345961	Coro1a
MGI:MGI:101864	Dag1
MGI:MGI:101863	Aldoc
MGI:MGI:1916193	Pink1
MGI:MGI:101833	Elk1
MGI:MGI:97282	Ncam2
MGI:MGI:97250	Myc
MGI:MGI:1926945	Trpv4
MGI:MGI:1306801	Pcdh9
MGI:MGI:97180	Mapt
MGI:MGI:97173	Mt3
MGI:MGI:97004	Mme
MGI:MGI:1100492	Nrp2
MGI:MGI:96654	Kcna1
MGI:MGI:108442	Cpeb1
MGI:MGI:1916060	Nexn
MGI:MGI:1916052	Mypn
MGI:MGI:108426	Kif1b
MGI:MGI:108417	Nrtn
MGI:MGI:1095412	Unc5c
MGI:MGI:1095407	Bmpr2
MGI:MGI:1194488	Slc32a1
MGI:MGI:108391	Kif1a
MGI:MGI:2448730	Atcay
MGI:MGI:2441950	Adgrl3
MGI:MGI:1100842	Gfra1
MGI:MGI:96282	Htr3a
MGI:MGI:1100818	Crcp
MGI:MGI:1352467	Esr1
MGI:MGI:1916851	Dab2ip
MGI:MGI:1889011	Sncb
MGI:MGI:97383	Ntrk1
MGI:MGI:97381	Ntf5
MGI:MGI:97360	Nos1
MGI:MGI:97321	Ngf
MGI:MGI:97313	Nefl
MGI:MGI:97309	Nefh
MGI:MGI:97306	Nf1
MGI:MGI:87859	Abl1
MGI:MGI:1891692	Hnrnpr
MGI:MGI:2677061	Dagla
MGI:MGI:1270156	Septin4
MGI:MGI:3522699	Trpa1
MGI:MGI:1270126	Ulk1
MGI:MGI:3027390	Lrrc4b
MGI:MGI:97902	Ret
MGI:MGI:1923020	Brsk2
MGI:MGI:2158663	Inpp5j
MGI:MGI:1352757	Iqgap1
MGI:MGI:1352750	Cabp1
MGI:MGI:1352745	Fscn1
MGI:MGI:105100	Ctnnd1
MGI:MGI:1891254	Bag2
MGI:MGI:1349163	Sdc3
MGI:MGI:105094	Adcyap1
MGI:MGI:105083	Slc1a1
MGI:MGI:1933179	Srcin1
MGI:MGI:105056	Cobl
MGI:MGI:1933158	Impa1
MGI:MGI:108092	Bin1
MGI:MGI:108080	Serpinf1
MGI:MGI:108075	Smo
MGI:MGI:108029	Scn10a
MGI:MGI:2135607	Sirt1
MGI:MGI:2135608	Pard3
MGI:MGI:2135637	Park7
MGI:MGI:2679721	Dixdc1
MGI:MGI:1341110	Adcy8
MGI:MGI:97374	Npy
MGI:MGI:97380	Ntf3
MGI:MGI:97384	Ntrk2
MGI:MGI:97385	Ntrk3
MGI:MGI:97386	Ntsr1
MGI:MGI:1351339	Grm2
MGI:MGI:1351338	Grm1
MGI:MGI:1351341	Grm4
MGI:MGI:1351344	Grm7
MGI:MGI:1351351	Casr
MGI:MGI:96274	Htr1b
MGI:MGI:96273	Htr1a
MGI:MGI:96269	Ranbp1
MGI:MGI:96250	Hsp90aa1
MGI:MGI:96247	Hsp90ab1
MGI:MGI:96240	Hspb1
MGI:MGI:105108	Nin
MGI:MGI:1314653	Afdn
MGI:MGI:2447658	Disc1
MGI:MGI:107231	Dlg1
MGI:MGI:99779	Chrna7
MGI:MGI:2443430	Dgki
MGI:MGI:3588199	Cntnap3
MGI:MGI:1925017	Ermn
MGI:MGI:99695	Cttn
MGI:MGI:99694	Rasgrf1
MGI:MGI:99667	Syt1
MGI:MGI:99666	Syt2
MGI:MGI:99654	Epha5
MGI:MGI:99611	Ephb2
MGI:MGI:1915600	Mul1
MGI:MGI:2177178	Dicer1
MGI:MGI:107558	Sema3a
MGI:MGI:107501	Kcnj11
MGI:MGI:1915115	Rgs10
MGI:MGI:3039629	Slc17a8
MGI:MGI:107476	Stim1
MGI:MGI:107434	Cdh8
MGI:MGI:107433	Cdh9
MGI:MGI:1915058	Tprgl
MGI:MGI:107427	Elavl4
MGI:MGI:107418	Ptprn2
MGI:MGI:1915021	Arpc5
MGI:MGI:1915010	Slc38a2
MGI:MGI:99954	Ighmbp2
MGI:MGI:99923	Kcnma1
MGI:MGI:894689	Ywhae
MGI:MGI:894681	Usp9x
MGI:MGI:894678	Aurka
MGI:MGI:894662	Nrsn1
MGI:MGI:2665790	Tnn
MGI:MGI:2153589	Acap3
MGI:MGI:1201778	Atp6v0d1
MGI:MGI:1918686	Flrt3
MGI:MGI:1201690	Map6
MGI:MGI:1201679	Cxadr
MGI:MGI:1201671	Synj2
MGI:MGI:2675856	Fez2
MGI:MGI:1354170	Cbarp
MGI:MGI:3042287	Cntn5
MGI:MGI:1860139	Gabbr1
MGI:MGI:1928745	Slc4a8
MGI:MGI:2385847	Mical1
MGI:MGI:97602	Prkcz
MGI:MGI:107848	Tubb4a
MGI:MGI:107813	Tubb3
MGI:MGI:2385708	Rin3
MGI:MGI:107793	Crmp1
MGI:MGI:2150150	Slc4a10
MGI:MGI:107765	Apbb1
MGI:MGI:107745	Dctn1
MGI:MGI:107743	Dync1i1
MGI:MGI:107735	Myo9a
MGI:MGI:107734	Ap3d1
MGI:MGI:107733	Dctn2
MGI:MGI:107732	Myo1a
MGI:MGI:107728	Myo1d
MGI:MGI:1098244	Ap1s1
MGI:MGI:1098265	Kif13b
MGI:MGI:1098268	Kif5b
MGI:MGI:1098269	Kif5c
MGI:MGI:1925542	Orai1
MGI:MGI:109178	Fgf13
MGI:MGI:1201378	Anxa3
MGI:MGI:102520	Phb2
MGI:MGI:2153060	Gjc2
MGI:MGI:109257	Smn1
MGI:MGI:1860493	Arhgef7
MGI:MGI:2665170	P2rx2
MGI:MGI:2136886	Rtn4r
MGI:MGI:2183683	Nav1
MGI:MGI:1344418	Cib1
MGI:MGI:1344408	Pebp1
MGI:MGI:1344400	C1ql1
