MGI:MGI:1345140	Aloxe3
MGI:MGI:1345138	Spry2
MGI:MGI:3644483	Vmn2r120
MGI:MGI:2676910	Mir30d
MGI:MGI:2676908	Mir30b
MGI:MGI:2676905	Mir29b-1
MGI:MGI:2676904	Mir29a
MGI:MGI:2676903	Mir27b
MGI:MGI:3030340	Or5p78
MGI:MGI:3030341	Olfr507
MGI:MGI:2676899	Mir24-1
MGI:MGI:2676897	Mir23a
MGI:MGI:2676896	Mir22
MGI:MGI:2676881	Mir206
MGI:MGI:2676880	Mir205
MGI:MGI:2676875	Mir200b
MGI:MGI:2676874	Mir200a
MGI:MGI:2676872	Mir20a
MGI:MGI:2676865	Mir199b
MGI:MGI:2676863	Mir199a-1
MGI:MGI:2676847	Mir183
MGI:MGI:2676846	Mir182
MGI:MGI:2676845	Mir181a-2
MGI:MGI:2676843	Mir16-1
MGI:MGI:2676837	Mir152
MGI:MGI:2676836	Mir151
MGI:MGI:2676834	Mir149
MGI:MGI:2676833	Mir148a
MGI:MGI:2676831	Mir146
MGI:MGI:3719572	Mir467a-3
MGI:MGI:3719573	Mir467a-4
MGI:MGI:3719574	Mir467a-5
MGI:MGI:3719576	Mir467a-6
MGI:MGI:3719577	Mir467a-7
MGI:MGI:3719578	Mir467a-8
MGI:MGI:1860476	Nmu
MGI:MGI:108176	Prx
MGI:MGI:1338859	P2rx4
MGI:MGI:1919338	Ush1c
MGI:MGI:1338824	Rgs9
MGI:MGI:3030550	Or2d36
MGI:MGI:104992	Crybb1
MGI:MGI:104963	Npy1r
MGI:MGI:1098270	Jag2
MGI:MGI:1341867	Mmp24
MGI:MGI:1341818	Cnga3
MGI:MGI:2686271	Opa3
MGI:MGI:2444879	Ripor2
MGI:MGI:96990	Mip
MGI:MGI:1890574	Sptbn4
MGI:MGI:96925	Mbp
MGI:MGI:1341787	Trpv1
MGI:MGI:3030844	Or9g10
MGI:MGI:3030847	Olfr1013
MGI:MGI:2444748	Chd7
MGI:MGI:3030985	Or5w8
MGI:MGI:3030986	Or5w19
MGI:MGI:96677	Kit
MGI:MGI:1890258	Tas2r116
MGI:MGI:1890257	Tas2r103
MGI:MGI:96659	Kcna2
MGI:MGI:1890219	Cdh23
MGI:MGI:96624	Itpr3
MGI:MGI:2652818	Dcdc2a
MGI:MGI:96600	Itga2
MGI:MGI:2157548	Olfr78
MGI:MGI:1932134	Rpgrip1
MGI:MGI:96547	Il1rn
MGI:MGI:96540	Il12b
MGI:MGI:3709847	Mir181d
MGI:MGI:2662912	Opn5
MGI:MGI:96432	Igf1
MGI:MGI:1341292	Ush2a
MGI:MGI:2147134	Fbxo11
MGI:MGI:2681207	Tas2r107
MGI:MGI:2681267	Tas2r124
MGI:MGI:2681269	Tas2r125
MGI:MGI:104671	Tfap2a
MGI:MGI:104650	Cnr2
MGI:MGI:104629	Penk
MGI:MGI:104615	Cnr1
MGI:MGI:3030751	Or8b52
MGI:MGI:3030754	Or8b53
MGI:MGI:1341911	Or52z1
MGI:MGI:1341910	Or51b6
MGI:MGI:1341906	Or51b4
MGI:MGI:1341900	Or51b17
MGI:MGI:3030764	Or8d23
MGI:MGI:3030771	Or8g23
MGI:MGI:3030782	Or8g30
MGI:MGI:3030788	Or8g34
MGI:MGI:104565	Cdkn1b
MGI:MGI:3030793	Or10d1
MGI:MGI:104510	Myo7a
MGI:MGI:1890662	Slc9a3r2
MGI:MGI:1922374	Nxnl2
MGI:MGI:3783368	Mir1195
MGI:MGI:96824	Tlr4
MGI:MGI:2147577	Ffar4
MGI:MGI:2686021	Ankfn1
MGI:MGI:2444630	Dmxl2
MGI:MGI:96770	Lef1
MGI:MGI:3647600	Otogl
MGI:MGI:2140712	Phf24
MGI:MGI:1919210	Myh14
MGI:MGI:1929473	Rgr
MGI:MGI:1344394	Lamc3
MGI:MGI:104897	Rest
MGI:MGI:104887	Gpx1
MGI:MGI:104812	Olfr13
MGI:MGI:1353425	Opn4
MGI:MGI:108520	Fzd4
MGI:MGI:101782	Scnn1a
MGI:MGI:101780	Serpine2
MGI:MGI:101765	Cdk5
MGI:MGI:2135267	Bbs2
MGI:MGI:3645665	Calhm3
MGI:MGI:2145481	Serpinb6c
MGI:MGI:1277948	Obp1b
MGI:MGI:2676826	Mir141
MGI:MGI:2676825	Mir140
MGI:MGI:2676816	Mir130a
MGI:MGI:2676810	Mir125b-1
MGI:MGI:2676800	Mirlet7g
MGI:MGI:2676796	Mirlet7d
MGI:MGI:2676793	Mirlet7a-1
MGI:MGI:2686991	Tmem120a
MGI:MGI:3030485	Or52h9
MGI:MGI:3030491	Or56b1
MGI:MGI:95777	Gnas
MGI:MGI:95778	Gnat1
MGI:MGI:95779	Gnat2
MGI:MGI:95781	Gnb1
MGI:MGI:1888513	Fzd2
MGI:MGI:1927593	Ptges
MGI:MGI:2388124	Clrn1
MGI:MGI:2685267	Lrit3
MGI:MGI:1347520	Ror1
MGI:MGI:2443878	Slc4a7
MGI:MGI:1914751	Ccdc50
MGI:MGI:1914716	Pdcl
MGI:MGI:2671932	Tspear
MGI:MGI:1921273	Rd3
MGI:MGI:1859665	Atp8b1
MGI:MGI:1097160	P2rx3
MGI:MGI:1097157	Ppef1
MGI:MGI:1859639	Cacna1f
MGI:MGI:2443778	Cfap69
MGI:MGI:2443718	Lrig2
MGI:MGI:2136343	Crb1
MGI:MGI:1337104	Eya4
MGI:MGI:1337100	Wdr1
MGI:MGI:95821	Grin2b
MGI:MGI:95820	Grin2a
MGI:MGI:95815	Grik2
MGI:MGI:1859546	Syt10
MGI:MGI:95667	Gbx1
MGI:MGI:95626	Gabrr2
MGI:MGI:95621	Gabrb3
MGI:MGI:95617	Gabra5
MGI:MGI:1859388	Dll4
MGI:MGI:95602	Fyn
MGI:MGI:1931130	Tac4
MGI:MGI:2443409	Gpr179
MGI:MGI:1261811	Myo15
MGI:MGI:95522	Fgfr1
MGI:MGI:1859288	Barhl1
MGI:MGI:2685451	Rtp2
MGI:MGI:2685450	Rtp1
MGI:MGI:2685803	Cplx4
MGI:MGI:2685427	Gfy
MGI:MGI:2685402	Espnl
MGI:MGI:2685847	Pjvk
MGI:MGI:1196458	Scarb2
MGI:MGI:3527447	Taar7f
MGI:MGI:3527427	Taar3
MGI:MGI:103556	Cxcl12
MGI:MGI:1921393	Opa1
MGI:MGI:1347058	Hsf4
MGI:MGI:1914963	Dnajc19
MGI:MGI:1914921	Rpl38
MGI:MGI:3045350	Olfm2
MGI:MGI:2146159	Alg10b
MGI:MGI:98249	Scn3a
MGI:MGI:1914869	Nob1
MGI:MGI:3646230	Clrn2
MGI:MGI:2651573	Tub
MGI:MGI:1859086	Irx5
MGI:MGI:1347354	Homer2
MGI:MGI:2685073	Taar5
MGI:MGI:2685072	Taar4
MGI:MGI:103285	Atp6v1b1
MGI:MGI:2685028	Rdh8
MGI:MGI:2443639	Ccdc66
MGI:MGI:2443629	Cemip
MGI:MGI:103201	Aqp1
MGI:MGI:95794	Lrp2
MGI:MGI:1330305	Trpm1
MGI:MGI:95774	Gnal
MGI:MGI:95751	Glrb
MGI:MGI:95747	Glra1
MGI:MGI:95722	Gjb4
MGI:MGI:95720	Gjb2
MGI:MGI:95714	Gja3
MGI:MGI:1921050	Tmtc4
MGI:MGI:1931271	Or8a1b
MGI:MGI:894312	Crhr2
MGI:MGI:3030646	Or6c216
MGI:MGI:3030647	Or6c76b
MGI:MGI:3030655	Or6c74
MGI:MGI:3030656	Or6c69c
MGI:MGI:3030657	Or9r3
MGI:MGI:3030662	Or7g16
MGI:MGI:3030666	Or7g19
MGI:MGI:3030673	Or7g23
MGI:MGI:3030677	Or7g25
MGI:MGI:2153206	Or7d10
MGI:MGI:3030684	Or7g32
MGI:MGI:3030693	Or7e168
MGI:MGI:1201412	Rdh5
MGI:MGI:2183924	Myo3a
MGI:MGI:1921903	Pomk
MGI:MGI:2685844	Prdm12
MGI:MGI:3030725	Or8c13
MGI:MGI:1923510	Ttc8
MGI:MGI:87999	Alox5
MGI:MGI:87937	Adrb1
MGI:MGI:87934	Adra2a
MGI:MGI:2151908	Or5d18
