tuba1a	nnat	tubb5	tubb2b	tubb3	bzw2	tmsb10	sox11	sox4	map1b	
tyw3	hsp90ab1	ccnd2	hnrnpa2b1	ncl	nasp	h2afv	ttr	dek	serbp1	
tuba1a	nnat	tubb5	tubb2b	tubb3	tmsb4x	sox4	cd24a	tmsb10	sox11	
mt-nd1	actb	arpp21	mt-nd4	snhg11	pcp4	calm1	mt-cytb	atp2b1	chchd10	
mt-nd1	actb	apoe	fth1	ptn	mt-cytb	snhg11	mt-nd4	fabp7	atp2b1	
actb	mt-nd1	zfp780b	ncam1	snhg11	rtn1	mt-cytb	npy	mt-nd4	sepw1	
tuba1a	tubb5	nnat	sox4	tubb3	ubap1	tubb2b	sox11	h3f3b	map1b	
mt-nd1	calm1	mt-nd4	sepw1	mt-cytb	arpp21	pcp4	snca	gm26558	nrgn	
fabp7	hnrnpa2b1	ptn	dbi	ncl	hsp90ab1	pabpc1	pdap1	prpf38b	hsp90b1	
mt-nd1	actb	nrep	cnr1	sf3b1	pabpc1	gnb2l1	pcdh10	npc2	rpl8	
npy	cxcl14	actb	cck	snhg11	ccnd2	ly6h	mt-nd1	grin3b	ncam1	
klhl13	hnrnpa2b1	ccnd2	hsp90ab1	ncl	smc4	meis2	nasp	marcks	ebf1	
tuba1a	nnat	tubb5	tubb2b	tubb3	sox4	zc3hc1	sox11	h3f3b	tmsb4x	
ss18	ccnd2	hnrnpa2b1	hsp90ab1	tubb5	h2afv	sox4	ncl	nasp	marcks	
hsp90ab1	hnrnpa2b1	myh10	ncl	serbp1	marcks	nasp	ccnd2	smc4	anp32a	
tmsb4x	ppp1r11	tuba1a	nnat	tmsb10	tubb2b	sepw1	tubb5	tubb3	rtn1	
ddx59	ccnd2	tubb5	hsp90ab1	hnrnpa2b1	fabp7	h2afv	marcks	serbp1	dek	
plp1	mbp	ccnd2	tuba1a	mobp	tubb3	sox4	tubb5	actb	mpped2	
mt-nd1	mt-cytb	snhg11	mt-nd2	cck	hsp90ab1	cfdp1	mt-nd4	epha4	atp1b1	
mt-nd1	mt-cytb	snhg11	mt-nd4	sepw1	cxcl14	npy	arpp21	actb	pcp4	
mt-nd1	actb	mt-cytb	mt-nd4	rtn1	snhg11	ncam1	ncan	tmsb4x	sepw1	
mt-nd1	sepw1	snhg11	cxcl14	reln	mt-nd4	mt-cytb	fth1	cnr1	mllt11	
sox4	tuba1a	tubb5	sox11	tubb2b	tubb3	mc1r	meis2	h3f3b	rpl13a	
hnrnpa2b1	hsp90ab1	hirip3	ncl	dek	nasp	ccnd2	serbp1	smc4	marcks	
hsp90ab1	susd6	ncl	ccnd2	hnrnpa2b1	serbp1	marcks	nasp	mt-nd5	anp32a	
mt-nd1	fth1	bsg	tmsb4x	vip	npy	snhg11	mt-nd4	mt-cytb	sepw1	
mt-nd1	mt-cytb	mt-nd4	rtn1	tmem53	snhg11	arpp21	actb	pcp4	stmn3	
tubb5	tuba1a	tmsb4x	nnat	tubb3	sox4	tubb2b	sox11	h3f3b	tmem176b	
mt-nd1	zdhhc5	cxcl14	hnrnpa2b1	mt-cytb	snhg11	cck	ncl	mt-nd5	rbm25	
tuba1a	tmsb4x	tubb2b	tubb5	nnat	tubb3	mt-nd1	rtn1	sox4	sox11	
fabp7	cetn2	hsp90ab1	dbi	serbp1	ncl	ptn	hnrnpa2b1	fkbp3	pabpc1	
nnat	tuba1a	sox11	tubb3	marveld3	hbb-bs	hnrnpa2b1	tubb5	sox4	map1b	
mt-nd1	mt-cytb	mt-nd4	snhg11	actb	pcp4	arpp21	rtn1	sepw1	pcsk1n	
mt-nd1	tmsb10	mt-nd4	mt-cytb	cxcl14	reln	snhg11	stmn4	nrep	chl1	
fabp7	mt-nd1	cspg5	ptn	olig1	pdgfra	ptprz1	cd81	s100a16	serpine2	
mt-nd1	tmsb4x	1110001j03rik	sepw1	rtn1	mt-nd4	snhg11	tmsb10	pcp4	arpp21	
hsp90ab1	marcks	mt-nd5	ptn	calm1	hnrnpa2b1	mt-nd2	mt-cytb	ncl	dek	
dbi	hsp90ab1	bclaf1	eef1a1	mki67	pole3	sept7	nasp	oaz1	ptma	
dbi	mt1	chchd10	mt-nd1	mt3	mt-nd4	apoe	calm1	fth1	mt-cytb	
tuba1a	nnat	tubb5	tubb2b	tubb3	tmsb4x	sox4	sox11	h3f3b	tmsb10	
tmsb4x	sparc	fth1	pglyrp1	pfn1	calm1	ctla2a	igfbp7	isl1	gnai2	
armcx5	nnat	ptms	hnrnpa2b1	hsp90ab1	marcks	fnbp1l	acin1	serbp1	sox11	
zcchc11	hnrnpa2b1	hsp90ab1	ncl	serbp1	marcks	nasp	smc4	dek	rbm25	
tuba1a	tsr3	nnat	tubb5	sox4	sox11	tubb2b	tubb3	h3f3b	tmsb10	
fabp7	aldh6a1	dbi	ptn	apoe	npy	ptprz1	vim	cck	tubb2b	
mt-nd1	mt-cytb	tmsb4x	snhg11	actb	mt-nd4	plp1	atp1b1	arpp21	atp2b1	
ccnd2	dek	hsp90ab1	nasp	ncl	hnrnpa2b1	serbp1	atad2	smc4	hnrnpab	
mt-nd1	rtn1	cxcl14	stmn2	styx	tubb2b	mt-nd4	tmsb10	stmn3	sepw1	
fpgt	tubb5	sox4	sox11	tubb3	tuba1a	h2afv	ccnd2	map1b	dlx2	
mphosph9	ccnd2	smc4	hnrnpa2b1	marcks	hsp90ab1	cenpf	ncl	serbp1	mki67	
arl6ip1	ccnd2	ube2c	cenpf	smc4	h2afv	hnrnpa2b1	prc1	nusap1	cenpe	
mt-nd1	mt-cytb	mt-nd4	snhg11	dnal1	actb	arpp21	sepw1	atp2b1	pcp4	
dbi	fabp7	ptn	acat3	hsp90ab1	mt-nd5	apoe	hnrnpa2b1	cpe	marcks	
npy	fabp7	mt-nd1	sst	cxcl14	ptn	dbi	snhg11	gdpd2	ly6h	
mt-nd1	mt-cytb	mt-nd4	rtn1	npy	snhg11	sst	ly6h	pcsk1n	stmn3	
mt-nd1	mt-cytb	arpp21	calm1	col4a3	fth1	mt-nd2	snhg11	marcks	minos1	
tuba1a	nnat	tubb2b	tubb5	tmsb4x	tubb3	tmsb10	sox11	sox4	actb	
rtn1	mt-nd1	sepw1	bcl11b	bdnf	stmn2	nrgn	isl1	lmo4	rprm	
mt-nd1	sst	pcp4	snhg11	arpp21	atp2b1	ly6h	mt-nd4	gap43	sepw1	
mt-nd1	snhg11	mt-cytb	sepw1	mt-nd4	rtn1	cxcl14	tmsb4x	2310061i04rik	ly6h	
tuba1a	tubb5	tmsb4x	tubb2b	eif6	tubb3	nnat	rps5	h3f3b	sox4	
tuba1a	nnat	tubb5	tubb2b	tmsb4x	tubb3	sox4	sox11	h3f3b	tmsb10	
mt-nd1	tmsb4x	sepw1	snhg11	rtn1	3830406c13rik	cxcl14	mt-nd4	tmsb10	mllt11	
mt-nd1	timm17a	snhg11	cxcl14	tmsb4x	calm1	sepw1	arpp21	mt-nd4	ccnd2	
actb	mt-nd1	mt-cytb	snhg11	mt-nd4	ncam1	arpp21	pcp4	atp2b1	fth1	
rbm10	ccnd2	hsp90ab1	hnrnpa2b1	tubb5	nasp	sox11	sox4	marcks	ncl	
atrx	nnat	acin1	matr3	sox4	sp9	h3f3b	dlx1	snrnp70	zmynd11	
hnrnpa2b1	hsp90ab1	marcks	serbp1	cenpe	mki67	tax1bp1	nrep	sox2	rps21	
actb	dek	pabpc1	hsp90ab1	adam5	fkbp3	h2afv	hmgb2	psma7	rbm25	
mt-nd1	mt-cytb	mt-nd4	snhg11	ppp1r9a	arpp21	atp2b1	pcp4	ly6h	ppp3ca	
