hnrnpa2b1	sox11	hsp90ab1	tcf4	top2a	ezh2	nasp	ncl	serbp1	marcks	
tuba1a	tubb5	nnat	tubb2b	tmsb4x	tubb3	tmsb10	sox4	h3f3b	rps5	
hsp90ab1	hnrnpa2b1	top2a	ccnd2	marcks	nasp	ncl	smc4	anp32a	rbm25	
pabpc1	hsp90ab1	eif5b	actb	rplp1	apoe	rps26	cpa3	serbp1	eif3a	
tmsb4x	cst3	actb	hsp90ab1	hbb-bs	serbp1	apoe	dek	fkbp3	hexb	
mt-nd1	snhg11	tmsb4x	plp1	sepw1	mt-nd4	npy	mt-cytb	rtn1	actb	
mt-nd1	cxcl14	snhg11	mt-nd4	mt-cytb	sepw1	ncam1	actb	tmsb10	tmsb4x	
tuba1a	nnat	tubb2b	tubb5	tubb3	sox4	tmsb4x	sox11	tmsb10	h3f3b	
tmsb4x	apoe	mt-nd1	cst3	actb	mt-cytb	mt-nd4	ctsb	sepp1	tyrobp	
hsp90ab1	hnrnpa2b1	ccnd2	top2a	serbp1	ncl	marcks	nasp	smc4	hnrnpm	
mt-nd1	mt-cytb	mt-nd4	snhg11	arpp21	atp2b1	actb	rtn1	pcp4	ly6h	
hsp90ab1	ncl	mt-cytb	pou3f3	mt-nd1	neurod6	mt-nd5	canx	pnisr	rplp1	
mt-nd1	rtn1	mt-cytb	tuba1a	mt-nd4	stmn2	tubb2b	tmsb10	stmn3	nnat	
rps5	tubb5	tuba1a	rpl8	rpl13a	rps14	rps3	rpl4	hsp90ab1	dbi	
map1b	tubb3	meis2	prc1	sgol2a	smc2	ccdc50	dync1i2	atrx	arl6ip1	
tuba1a	nnat	tubb2b	tmsb4x	tubb5	tubb3	sox4	sox11	rtn1	marcksl1	
hnrnpab	sox4	slc25a4	abracl	hmgn1	ranbp1	rpl22	fkbp3	akap9	rock1	
apoe	ncl	marcks	sst	serbp1	hnrnpa2b1	top2a	dek	fabp7	hnrnpd	
actb	dbi	cst3	apoe	ncl	pabpc1	luc7l3	mt-nd2	calm1	mt-nd5	
mt-nd1	cxcl14	snhg11	cck	ccnd2	cnr1	dbi	ncl	dek	top2a	
tmsb4x	nnat	tuba1a	tmsb10	tubb2b	marcksl1	rtn1	mef2c	sox11	mllt11	
hsp90ab1	gadd45g	ptn	ccnd2	whsc1	serbp1	cdk4	fkbp3	ptms	anp32a	
hsp90ab1	hnrnpa2b1	ncl	serbp1	ccnd2	marcks	ezh2	top2a	nasp	anp32a	
calm1	gpatch8	hnrnpr	fnbp1l	serbp1	kif21a	dbi	hnrnpd	pnn	gmnn	
serbp1	fabp7	ttc3	vip	mt-nd1	tcf4	ptma	mt-nd5	rbm25	ppig	
actb	hsp90ab1	marcks	ccnd2	fabp7	serbp1	mt-nd5	hnrnpa2b1	hnrnpd	rbm25	
mt-nd1	actb	mt-cytb	tmsb4x	bsg	mt-nd4	arpp21	atp2b1	calm1	sparc	
plp1	mt-nd1	actb	sirt2	cldn11	cnp	mt-nd4	dynll2	mobp	cd81	
tmsb4x	actb	cst3	mt-nd1	mt-cytb	ctsd	atp2b1	calm1	arpp21	ctsb	
mt-nd1	actb	mt-cytb	tmsb4x	snhg11	arpp21	mt-nd4	pcp4	sepw1	bsg	
mt-nd1	mt-cytb	mt-nd4	npy	cxcl14	rtn1	stmn3	snhg11	stmn2	atp1b1	
hsp90ab1	serbp1	ncl	pabpc1	ccnd2	top2a	nasp	hnrnpa2b1	dek	ezh2	
nnat	tuba1a	tubb2b	tubb3	tmsb4x	tubb5	rtn1	tmsb10	sox4	sox11	
mt-nd1	mt-cytb	rtn1	mt-nd4	snhg11	cxcl14	stmn3	npy	ly6h	stmn2	
mt-nd1	npy	mt-cytb	mt-nd4	snhg11	rtn1	ly6h	cxcl14	stmn3	cst3	
tmsb4x	bsg	mt-nd1	sparc	cxcl14	actb	mt-cytb	snhg11	npy	igfbp7	
tmsb4x	mt-nd1	bsg	npy	actb	apoe	mt-cytb	cst3	mt-nd4	sparc	
tmsb4x	cst3	actb	hexb	c1qa	sparc	p2ry12	c1qb	lgmn	itm2b	
mt-nd1	actb	snhg11	arpp21	tmsb4x	mt-nd4	atp2b1	mt-cytb	pcp4	cst3	
tmsb4x	tcf4	tuba1a	nnat	marcksl1	h3f3b	tmsb10	sepw1	rps5	pfn2	
bsg	actb	hsp90ab1	mt-co1	tmsb4x	serbp1	igfbp7	mt-nd2	hnrnpa2b1	ncl	
ccnd2	fkbp3	pdap1	serbp1	marcks	zranb2	bclaf1	eif5b	rsrc2	ccdc34	
tmsb4x	apoe	cst3	actb	ctsb	c1qb	ctsd	hexb	pabpc1	c1qc	
mt-nd1	mt-cytb	mt-nd4	rtn1	snhg11	arpp21	sepw1	actb	ly6h	pcsk1n	
rgs5	ptn	apoe	actb	sparc	cald1	igfbp7	igf2	sept7	cd81	
actb	pabpc1	top2a	mt-nd2	serbp1	mt-nd5	marcks	meis2	cst3	ncl	
mt-nd1	cxcl14	mt-cytb	snhg11	rtn1	mt-nd4	npy	stmn2	pcsk1n	cnr1	
hnrnpa2b1	top2a	smc4	hsp90ab1	ncl	cenpf	ezh2	nasp	cenpe	calm1	
fabp7	mt-nd1	mt-cytb	ptn	dbi	apoe	sparc	npy	ncl	pabpc1	
tmsb4x	bsg	mt-nd1	sparc	actb	calm1	mt-cytb	igfbp7	arpp21	mt-nd4	
tubb5	tubb3	tuba1a	npy	tmsb4x	rbm25	rbm39	atp5b	rps9	sox2	
tuba1a	nnat	rtn1	tmsb10	tubb2b	fabp7	marcksl1	mapt	map1b	stmn2	
tmsb4x	tuba1a	nnat	tubb2b	tmsb10	tubb5	tubb3	rtn1	sepw1	marcksl1	
tmsb4x	tmsb10	tuba1a	sepw1	tubb2b	rtn1	mt-nd1	marcksl1	tubb3	mllt11	
gm8797	hnrnpab	ptma	serbp1	h1f0	hnrnpa2b1	nnat	rps26	hmgb2	ttc3	
mt-nd1	mt-cytb	mt-nd4	snhg11	cxcl14	rtn1	ly6h	pcsk1n	stmn3	sepw1	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	atp2b1	arpp21	atp1b1	stmn3	ly6h	
tmsb4x	mt-nd1	sepw1	actb	snhg11	mt-nd4	tmsb10	rtn1	mt-cytb	mllt11	
sst	actb	arpp21	mt-nd1	npy	pcp4	cox5a	snhg11	sepw1	ndufa2	
plp1	dynll2	sirt2	cnp	s100a13	olig1	ptprz1	sepw1	s100a1	tmem108	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	npy	cxcl14	stmn2	ly6h	sepw1	
snhg11	mt-nd1	atp2b1	arpp21	mt-cytb	tac1	ppp1r1b	grm5	mt-nd4	calm1	
mt-nd1	mt-cytb	mt-nd4	snhg11	actb	arpp21	atp2b1	rtn1	pcp4	ly6h	
actb	tmsb4x	bsg	dbi	rgs5	ptn	cst3	fabp7	apoe	sparc	
tmsb4x	actb	cst3	pabpc1	apoe	ctsb	mt-nd5	sparc	hsp90ab1	ctsd	
mt-nd1	mt-cytb	arpp21	mt-nd4	rtn1	snhg11	pcp4	foxp1	atp2b1	sepw1	
nasp	srrm2	gnb2l1	mtf2	luc7l3	anp32a	cdca7	ccnd2	cdc45	pcna	
hnrnpa2b1	smc4	h2afv	rbm25	tcf4	sox11	fkbp3	ccnd2	map4k4	anp32e	
cst3	mt-nd1	hexb	sparc	mt-cytb	hbb-bs	atp1b1	p2ry12	stmn3	tmsb4x	
mt-nd1	npy	snhg11	mt-cytb	tmsb4x	sepw1	mt-nd4	rtn1	ttr	atp1b1	
tmsb4x	cst3	actb	apoe	sparc	hsp90ab1	pabpc1	hsp90b1	ctsb	bsg	
tuba1a	nnat	tubb2b	sox11	sox4	tmsb4x	tubb3	map1b	tcf4	marcksl1	
tmsb4x	sepw1	tmsb10	mt-nd1	rtn1	cxcl14	mllt11	snhg11	stmn2	npy	
mt-nd1	mt-cytb	mt-nd4	rtn1	snhg11	npy	sepw1	atp1b1	pcsk1n	ly6h	
npy	nasp	mt-cytb	dbi	mt-nd2	nedd4	kif1b	rpl32	ddah1	mt-nd5	
hmgn5	sox11	hnrnpd	cited2	serbp1	lyar	h2afv	hnrnpc	tubb5	pabpc1	
hsp90ab1	hnrnpa2b1	ncl	serbp1	marcks	top2a	nasp	ezh2	dek	rbm25	
mt-nd1	cck	sst	snhg11	mt-cytb	ly6h	mt-nd4	stmn3	rtn1	npy	
mt-nd1	npy	sst	tmsb4x	actb	mt-nd4	snhg11	ncam1	mt-cytb	mef2c	
tuba1a	nnat	tubb2b	tmsb4x	rtn1	tubb3	tubb5	tmsb10	marcksl1	fabp7	
nnat	tuba1a	tubb2b	tmsb4x	tubb5	tubb3	rtn1	tmsb10	sox11	marcksl1	
npy	hsp90ab1	mt-nd5	sst	hnrnpa2b1	zmym5	top1	smc1a	calr	mt-co1	
tmsb4x	cst3	hexb	ccnd2	c1qa	c1qb	p2ry12	c1qc	sparc	rpl13a	
tuba1a	nnat	sox11	sox4	tubb5	tubb3	hnrnpa2b1	hsp90ab1	tubb2b	meis2	
hsp90ab1	cck	serbp1	hnrnpa2b1	srrm2	ezh2	marcks	pabpc1	ncl	mt-nd5	
