hnrnpa2b1	hsp90ab1	sox11	anp32a	gm2888	ncl	cbx1	marcks	hnrnpd	top2b	
tuba1a	nnat	tubb5	lonp2	sox11	sox4	hsp90ab1	tubb3	hnrnpa2b1	tubb2b	
nnat	tuba1a	tubb2b	rtn1	tubb3	mt-nd1	tubb5	tmsb4x	tmsb10	tram1l1	
rgs5	nrep	mt-cytb	actb	sox11	apoe	tmem71	serbp1	hspa5	mt-nd2	
mt-nd1	mt-cytb	mt-nd4	snhg11	rtn1	npy	cxcl14	sepw1	ly6h	hexdc	
nnat	mt-nd1	rtn1	tmsb4x	sst	snhg11	cxcl14	tuba1a	sepw1	tmsb10	
hsp90ab1	ccnd2	nasp	serbp1	ncl	hnrnpa2b1	dbi	marcks	fabp7	dek	
top2a	ccnd2	arl6ip1	smc4	hnrnpa2b1	cenpf	h2afv	ube2c	prc1	marcks	
mt-nd5	pdap1	hsp90ab1	ncl	eif5b	top1	nes	smc1a	dek	rbm34	
mt-nd1	tmsb4x	tuba1a	tubb3	actb	tubb2b	sox4	tubb5	rtn1	sepw1	
ap4m1	hnrnpa2b1	ccnd2	hsp90ab1	ncl	serbp1	top2a	marcks	nasp	ezh2	
mt-nd1	cxcl14	mt-cytb	snhg11	mt-nd4	rtn1	ly6h	pcsk1n	stmn3	cck	
mt-nd1	mt-cytb	mt-nd4	rtn1	nnat	lrrc16a	snhg11	sepw1	bcl11b	stmn3	
tuba1a	nnat	tubb5	tubb2b	tmsb4x	tubb3	sox11	sox4	rtn1	tmsb10	
mt-nd1	mt-cytb	ttc17	mt-nd2	mt-nd4	snhg11	mt-nd5	hnrnpa2b1	ncl	top2a	
tuba1a	tmsb10	tmsb4x	ncl	pdap1	fdft1	mt-nd5	hsp90ab1	fubp1	actb	
fabp7	cst3	vip	mt-nd1	rbm25	pnn	prok1	arl6ip1	atrx	cxcl14	
tubb5	tuba1a	nnat	tubb2b	sox4	tubb3	nup35	h3f3b	rps5	sox11	
tubgcp6	hnrnpa2b1	top2a	dek	hsp90ab1	ncl	nasp	serbp1	hnrnpab	marcks	
tuba1a	tubb5	rpl30	nnat	tubb2b	rps5	tmsb10	rps14	tubb3	rpl13a	
aida	tmsb4x	ccnd2	sepw1	tubb5	fabp7	cxcl14	tmsb10	rpl13a	ybx1	
mt-nd1	actb	mt-nd4	snhg11	mt-cytb	arpp21	npy	ncam1	atp2b1	tmsb4x	
mt-nd1	cxcl14	rtn1	snhg11	mt-cytb	stmn2	atp1b1	mt-nd4	cst3	ndufa4	
taf4a	hnrnpa2b1	top2a	ncl	hsp90ab1	dek	marcks	nasp	smc4	serbp1	
actb	pcp4	snhg11	cspg5	arglu1	map1b	arpp21	gap43	calm2	runx1t1	
mt-nd1	cxcl14	mt-nd4	mt-cytb	snhg11	pcsk1n	ndufa4	atp2b1	rtn1	sepw1	
fabp7	hsp90ab1	cxcl14	dbi	sync	snhg11	ncl	marcks	ccnd2	arl6ip1	
nacc1	tmsb4x	mt-nd1	tubb2b	sepw1	tmsb10	sox4	tubb5	rpl13a	mt-nd4	
hsp90ab1	meis2	ncl	hnrnpa2b1	ccnd2	hnrnpab	ptms	anp32a	serbp1	rbm25	
